company_name,date,edu_req,hiring,job_name,viewed,wages,work_exp,work_place
通号工程局集团建设工程有限公司贵州分公司, 2021-12-28,本科,2,项目商务合约部长（房建）,本职位累积查看：3000 次,130000--180000  年薪,3-5 年,贵州-黔西南布依族苗族自治州
铜仁市思南县蓝盾保安有限责任公司, 2021-12-28,高中,1,保安管理人员,本职位累积查看：660 次,面议,不限,贵州-铜仁地区-思南县
贵州中投腾达置业有限公司, 2021-12-28,大专,1,资深Java开发工程师,本职位累积查看：1175 次,15000--25000  月薪,3-5 年,江苏-苏州市
通号工程局集团建设工程有限公司贵州分公司, 2021-12-28,不限,1,党宣主管,本职位累积查看：4810 次,60000--90000  年薪,不限,贵州-黔西南布依族苗族自治州-兴义市
贵州同德药业股份有限公司, 2021-12-28,本科,2,财务会计,本职位累积查看：3 次,3500--5000  月薪,1-3 年,甘肃-定西市
贵州升钻源商贸有限责任公司, 2021-12-28,不限,3,见习业务经理（毕业生）,本职位累积查看：2377 次,4000--8000  月薪,25-38 年,贵州-贵阳市
贵阳喜来登贵航酒店, 2021-12-28,不限,若干,员工餐厅厨房主管,本职位累积查看：767 次,3300--4000  月薪,不限,贵州-贵阳市
贵州天安科技有限公司, 2021-12-28,不限,1,总经理助理,本职位累积查看：1255 次,5500--8000  月薪,3年以上,贵州-贵阳市-观山湖区
贵州中典置业有限责任公司, 2021-12-28,不限,1,营销策划专员,本职位累积查看：5605 次,面议,不限,贵州-黔南布依族苗族自治州-龙里县
贵州纵横力创科技有限公司, 2021-12-28,不限,3,水土保持方案编制,本职位累积查看：613 次,60000--150000  年薪,不限,贵州-贵阳市-观山湖区
贵州菁瑞健身管理有限公司, 2021-12-28,不限,3,健身学徒会籍,本职位累积查看：504 次,7000--14000  月薪,不限,贵州-黔南布依族苗族自治州
都匀万达广场商业管理有限公司, 2021-12-28,不限,5,强电技工,本职位累积查看：166 次,面议,不限,贵州-黔东南苗族侗族自治州-凯里市
贵州领中空间科技有限公司, 2021-12-28,大专,2,土地确权负责人,本职位累积查看：23081 次,100000--200000  年薪,3-5 年,贵州-贵阳市-南明区
贵州格林勇创环境工程有限公司, 2021-12-28,大专,若干,安标项目技术员,本职位累积查看：866 次,3000--10000  月薪,不限,广东-清远市
贵州黔中水投工程有限公司, 2021-12-28,本科,1,水利、水电工程概算、造价负责人,本职位累积查看：3638 次,150000--250000  年薪,10年以上,贵州-贵阳市-南明区
贵州国升建设有限公司, 2021-12-28,不限,若干,消防安装项目经理及实习施工员,本职位累积查看：806 次,3000--8000  月薪,1年以上,贵州-毕节地区-毕节市
中铁贵州旅游文化发展有限公司, 2021-12-28,本科,2,行政综合管理岗位（主管、秘书、助理）,本职位累积查看：6406 次,100000--200000  年薪,不限,贵州-贵阳市
上海红星美凯龙品牌管理有限公司贵阳分公司, 2021-12-28,不限,2,电工（社会人才或应届生均可）,本职位累积查看：2339 次,3000--4000  月薪,1-3 年,贵州-贵阳市-南明区
贵州中伟资源循环产业发展有限公司, 2021-12-28,不限,10,维修工,本职位累积查看：1651 次,4000--6000  月薪,1年以上,贵州-铜仁地区-玉屏侗族自治县
贵州水务建设工程有限公司, 2021-12-28,大专,1,副经理（经营管理部）,本职位累积查看：631 次,9000--16000  月薪,3年以上,贵州-贵阳市-观山湖区
贵州中诺教育, 2021-12-28,本科,40,高中各科目教师,本职位累积查看：3768 次,3000--8000  月薪,不限,贵州-毕节地区
中国平安人寿保险股份有限公司上海电话销售中心, 2021-12-28,大专,2,人事助理,本职位累积查看：82 次,3000--6000  月薪,1-2 年,上海-浦东新区
通号工程局集团建设工程有限公司贵州分公司, 2021-12-28,不限,2,水电工程师,本职位累积查看：7648 次,8000--12000  月薪,2-20 年,贵州-黔西南布依族苗族自治州
明诚汇采项目管理有限公司, 2021-12-28,本科,若干,人力资源管理,本职位累积查看：840 次,3200--4400  月薪,不限,贵州-贵阳市-观山湖区
贵州银雁科技服务有限公司, 2021-12-28,本科,13,农金业务岗（派遣编）,本职位累积查看：442 次,3000--5000  月薪,不限,贵州-贵阳市-观山湖区
贵州菁瑞健身管理有限公司, 2021-12-28,不限,5,退伍军人+教练学徒,本职位累积查看：2106 次,6000--12000  月薪,不限,贵州-贵阳市-南明区
贵州致力穿山机械设备有限责任公司, 2021-12-28,中专,2,电工,本职位累积查看：3873 次,50000--100000  月薪,2-5 年,贵州-黔南布依族苗族自治州-惠水县
贵州楚盛专汽汽车销售有限公司, 2021-12-28,本科,若干,区域经理,本职位累积查看：232 次,5000--8000  月薪,2-5 年,贵州-贵阳市-花溪区
贵州天忆实业有限公司, 2021-12-28,大专,若干,企划专员,本职位累积查看：850 次,面议,1年以上,贵州-安顺市-平坝县
